id	race	gender	sex.worker	pimp	sex.work.client	drug.dealer	drug.cook	thief	retired	housewife	disabled	unemployed	homeless
2460	2	1	0	0	1	0	0	0	0	1	0	0	0
2461	4	0	0	0	0	0	0	0	0	0	0	0	0
2462	4	1	0	0	0	0	0	0	0	0	0	0	0
2463	4	0	0	0	0	0	0	0	0	0	0	0	0
2464	4	1	0	0	0	0	0	0	0	0	0	0	0
2465	4	1	0	0	0	0	0	0	0	0	0	1	0
2466	4	1	0	0	0	0	0	0	0	0	0	0	0
2467	4	0	0	0	0	0	0	0	0	0	0	0	0
2468	4	0	0	0	0	0	0	0	0	0	0	0	0
2469	4	0	0	0	0	0	0	0	0	0	0	0	0
2470	4	1	0	0	0	0	0	0	0	0	0	0	0
2471	4	1	0	0	0	0	0	0	0	0	0	0	0
2472	4	1	0	0	0	0	0	0	0	0	0	0	0
2473	4	1	0	0	0	0	0	0	0	0	0	0	0
2474	4	1	0	0	0	0	0	0	0	0	0	0	0
2475	4	1	0	0	0	0	0	0	0	0	0	0	0
2476	4	1	0	0	0	0	0	0	0	0	0	0	0
2477	4	0	0	0	0	0	0	0	0	0	0	0	0
2478	4	0	0	0	0	0	0	1	0	0	0	0	0
2479	4	0	0	0	0	0	0	0	0	0	0	0	0
2480	4	0	0	0	0	0	0	0	0	0	0	0	0
2481	4	0	0	0	0	0	0	0	0	0	0	0	0
2482	4	0	0	0	0	0	0	0	0	0	0	0	0
2483	4	0	0	0	0	1	0	0	0	0	0	0	0
2484	4	1	0	0	0	0	0	0	0	0	0	0	0
2485	4	0	0	0	0	0	0	0	0	0	0	0	0
2486	4	0	0	0	0	0	0	0	0	0	0	0	0
2487	3	0	0	0	0	0	0	0	0	0	0	0	0
2488	4	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2489	4	0	0	0	0	0	0	0	0	0	0	0	0
2490	4	0	0	0	0	0	0	0	0	0	0	0	0
2491	4	1	0	0	0	0	0	0	0	0	0	0	0
2492	1	0	0	0	1	0	0	0	0	0	1	0	0
2493	4	0	0	0	0	0	0	0	0	0	0	0	0
2494	4	0	0	0	0	0	0	0	0	0	0	0	0
2495	4	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2496	4	0	0	0	0	0	0	0	0	0	0	0	0
2497	4	0	0	0	0	0	0	0	1	0	0	0	0
2498	2	0	0	0	0	0	0	0	0	0	0	0	0
2499	2	1	0	0	0	0	0	0	0	0	0	0	0
2500	2	1	0	0	0	0	0	0	0	1	0	0	0
2501	4	1	0	0	0	0	0	0	0	0	0	0	0
2502	4	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2503	4	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
2504	4	1	0	0	0	0	0	0	0	0	0	1	0
2505	1	0	0	0	0	0	0	0	0	0	0	0	0
2506	4	1	0	0	0	0	0	0	0	0	0	0	0
2507	4	1	0	0	0	0	0	0	1	0	0	0	0
2508	4	0	0	0	0	0	0	0	0	0	0	0	0
2509	4	1	0	0	0	0	0	0	0	0	0	0	0
2510	4	1	0	0	0	0	0	0	0	0	0	0	0
2511	4	0	0	0	0	0	0	0	0	0	0	0	0
2512	4	1	0	0	0	0	0	0	0	0	0	0	0
2513	4	0	0	0	0	0	0	0	0	0	0	0	0
2514	4	1	0	0	0	0	0	0	0	0	0	0	0
2515	4	1	0	0	0	0	0	0	0	0	0	1	0
